Team,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,BN%
DAMWON Gaming,47,82,88,79,82,75,50,76
DRX,56,67,44,56,22,47,0,25
FlyQuest,50,50,50,42,67,52,0,63
Fnatic,82,64,64,33,55,56,100,55
G2 Esports,57,50,29,44,29,45,100,40
Gen.G,44,56,56,72,56,53,0,73
JD Gaming,40,40,50,58,50,39,0,55
LGD Gaming,33,33,50,33,67,48,0,33
Machi Esports,17,33,33,42,67,48,0,38
PSG Talon,33,17,33,27,50,50,0,40
Rogue,67,50,17,25,0,19,0,17
Suning,63,47,68,46,53,55,67,59
Team Liquid,67,50,50,42,33,46,0,60
Top Esports,33,40,47,57,53,53,0,57
TSM,33,17,17,45,33,36,0,13
Unicorns Of Love.CIS,50,50,17,42,50,27,0,22
